meeting_key,driver_name,practice_best_lap,practice_avg_best_lap,practice_total_laps,practice_best_s1,practice_best_s2,practice_best_s3,practice_avg_i1_speed,practice_avg_i2_speed,practice_avg_st_speed,practice_purple_sectors,practice_green_sectors,practice_soft_laps,practice_medium_laps,practice_hard_laps,quali_best_lap,quali_best_s1,quali_best_s2,quali_best_s3,grid_position,finishing_position,points,practice_total_sectors,practice_vs_quali_improvement,practice_total_tire_laps
1142,LEC,89.588,90.34899999999999,70,32.566,28.326,28.696,243.70680708180706,263.2939393939394,278.79720279720283,9,313,34.0,33.0,10.0,88.42,32.154,28.027,28.239,12.0,7.0,6.0,89.58800000000001,1.1679999999999922,77.0
1142,MAG,90.131,90.839,63,32.724,28.475,28.68,246.7677527151211,257.6393939393939,261.99848484848485,14,290,40.0,23.0,7.0,89.517,32.601,28.304,28.552,13.0,10.0,1.0,89.87899999999999,0.6140000000000043,70.0
1142,NOR,89.69,90.85333333333334,66,32.428,28.437,28.825,231.453373015873,266.4702228717574,261.5218609182803,13,301,41.0,20.0,14.0,90.447,32.711,28.58,28.884,19.0,17.0,0.0,89.69,-0.757000000000005,75.0
1142,OCO,89.953,90.391,68,32.643,28.516,28.704,245.8761904761905,271.89351851851853,281.52407407407406,14,361,40.0,36.0,0.0,89.078,32.262,28.3,28.477,6.0,8.0,4.0,89.863,0.875,76.0
1142,PER,89.098,89.7,61,32.309,28.223,28.373,238.52878787878785,250.16521739130437,257.74782608695654,60,204,48.0,21.0,0.0,88.265,32.139,27.982,28.144,1.0,1.0,25.0,88.905,0.8329999999999984,69.0
1142,PIA,89.698,90.71766666666667,73,32.353,28.445,28.865,249.49415204678363,278.6075757575757,269.2969696969697,35,367,30.0,34.0,17.0,89.243,32.426,28.272,28.545,8.0,15.0,0.0,89.663,0.4549999999999983,81.0
1142,RUS,89.811,90.21733333333333,72,32.48,28.41,28.759,249.28670020639834,276.0961791831357,279.1618906455863,20,321,50.0,20.0,10.0,88.857,32.183,28.161,28.434,3.0,4.0,12.0,89.649,0.9540000000000077,80.0
1142,SAI,89.761,90.42566666666666,68,32.502,28.45,28.734,246.53378103378103,266.80575498575496,280.9034757834758,30,284,33.0,25.0,19.0,88.931,32.321,28.125,28.254,4.0,6.0,8.0,89.686,0.8299999999999983,77.0
1142,SAR,90.035,90.972,74,32.743,28.458,28.73,265.33910533910534,283.4462204462205,287.79620379620377,16,348,41.0,21.0,21.0,89.721,32.676,28.335,28.607,20.0,16.0,0.0,89.931,0.31399999999999295,83.0
1142,TSU,90.776,90.89433333333334,75,32.806,28.853,28.965,256.71765873015875,275.4586538461538,289.52275641025636,2,386,36.0,38.0,11.0,89.939,32.665,28.598,28.676,16.0,11.0,0.0,90.624,0.8370000000000033,85.0
1142,VER,88.485,89.235,67,32.143,28.067,28.232,240.3456582633053,265.20874811463045,274.94539969834085,83,279,54.0,9.0,10.0,88.761,32.268,28.188,28.305,15.0,2.0,0.0,88.44200000000001,-0.27599999999999625,73.0
1142,ZHO,89.917,90.91333333333334,70,32.773,28.403,28.741,244.08843335313927,279.6161616161616,268.5286195286196,1,380,41.0,20.0,18.0,89.461,32.628,28.302,28.531,11.0,13.0,0.0,89.917,0.45600000000000307,79.0
1143,ALO,77.727,78.64366666666666,62,26.853,17.639,33.171,254.29901960784312,275.94736842105266,281.85681114551085,32,288,38.0,8.0,20.0,77.139,26.648,17.563,32.887,4.0,3.0,15.0,77.66300000000001,0.5880000000000081,66.0
1143,BOT,78.809,79.84666666666666,67,27.205,18.008,33.596,254.11375661375664,285.0389208314905,272.4230019493177,3,328,31.0,19.0,15.0,78.714,27.133,17.896,33.62,19.0,11.0,0.0,78.809,0.09499999999999886,65.0
1143,DEV,79.092,79.875,56,27.384,18.042,33.663,258.57936507936506,283.2597402597403,302.2626984126984,1,350,35.0,19.0,8.0,78.335,27.215,17.841,33.277,15.0,15.0,0.0,79.089,0.757000000000005,62.0
1143,GAS,78.094,79.31533333333333,57,27.043,17.695,33.356,258.45694444444445,288.31029411764706,290.30980392156863,8,326,34.0,17.0,8.0,77.574,26.846,17.471,33.14,9.0,13.0,0.0,78.094,0.519999999999996,59.0
1143,HAM,78.138,79.228,62,27.09,17.803,33.237,247.1629370629371,276.9591297591298,291.5248917748918,30,305,41.0,8.0,10.0,77.104,26.748,17.519,32.837,3.0,2.0,18.0,78.13,1.034000000000006,59.0
1143,HUL,78.41,79.47,62,27.246,17.838,33.326,256.8333333333333,283.7746031746032,278.1388888888889,9,301,17.0,30.0,7.0,77.412,26.785,17.563,32.832,10.0,7.0,6.0,78.41,0.9979999999999905,54.0
1143,MAG,79.056,80.48966666666666,61,27.296,17.953,33.744,247.72843822843822,270.47102897102894,283.8982683982684,10,234,16.0,26.0,12.0,78.129,26.959,17.713,33.346,14.0,17.0,0.0,78.993,0.9269999999999925,54.0
1143,NOR,79.146,79.61933333333333,48,27.447,17.951,33.713,255.396632996633,277.8636363636364,291.0738636363636,3,257,9.0,25.0,8.0,78.119,26.982,17.716,33.137,13.0,6.0,8.0,79.11099999999999,1.027000000000001,42.0
1143,OCO,77.938,79.27933333333333,55,27.069,17.62,33.189,250.3272560486183,280.3496732026144,288.59614723082217,14,342,38.0,9.0,13.0,77.768,26.987,17.566,33.043,11.0,14.0,0.0,77.878,0.1700000000000017,60.0
1143,PER,78.123,79.16633333333334,52,27.134,17.634,33.285,238.6851851851852,266.5476190476191,288.1154401154401,55,180,35.0,18.0,0.0,,35.024,,,20.0,5.0,11.0,78.053,,53.0
1143,PIA,78.713,79.62333333333333,67,27.417,17.834,33.325,247.95686274509805,273.550505050505,292.14138286893706,8,304,34.0,9.0,14.0,78.517,27.289,17.865,33.363,16.0,8.0,4.0,78.57600000000001,0.19599999999999795,57.0
1143,SAI,78.127,79.109,61,27.078,17.767,33.282,253.61011651037225,272.3932461873638,283.9861111111111,58,274,34.0,19.0,15.0,77.27,26.728,17.553,32.758,5.0,12.0,0.0,78.127,0.8569999999999993,68.0
1143,SAR,78.947,79.51050000000001,41,27.392,17.649,33.71,257.4809523809524,278.79791666666665,304.61041666666665,13,239,33.0,0.0,15.0,78.557,27.172,17.552,33.676,18.0,16.0,0.0,78.751,0.39000000000000057,48.0
1143,STR,78.198,79.51433333333334,56,27.006,17.669,33.435,244.34166666666667,275.26190476190476,282.8666666666667,36,245,32.0,18.0,7.0,77.308,26.846,17.591,32.861,6.0,4.0,12.0,78.11,0.8899999999999864,57.0
1143,TSU,78.901,79.83999999999999,54,27.231,17.912,33.721,230.15570175438597,272.11074561403507,286.8795321637427,2,321,28.0,11.0,9.0,78.099,26.996,17.86,33.243,12.0,10.0,1.0,78.864,0.8019999999999925,48.0
1143,VER,77.565,78.619,53,26.801,17.563,33.059,255.44017094017093,269.6602564102564,292.9713450292398,63,186,28.0,27.0,0.0,76.732,26.574,17.456,32.702,1.0,1.0,25.0,77.423,0.8329999999999984,55.0
1143,ZHO,78.33,79.78966666666666,64,27.136,17.804,33.39,248.44235588972433,281.7123691581896,277.61890019165565,4,327,23.0,23.0,15.0,78.54,27.323,17.828,33.364,17.0,9.0,2.0,78.33,-0.21000000000000796,61.0
1207,ALB,103.628,103.628,25,36.572,41.956,25.026,184.95,198.47619047619048,308.6666666666667,1,193,10.0,17.0,0.0,101.818,35.84,40.976,24.883,12.0,12.0,0.0,103.554,1.8100000000000023,27.0
1207,ALO,103.56,103.56,20,36.778,41.835,24.79,188.1176470588236,190.5625,295.0625,10,157,0.0,22.0,0.0,101.253,35.526,40.645,24.769,6.0,4.0,12.0,103.40299999999999,2.307000000000002,22.0
