year,meeting_key,session_key,location,circuit_short_name,session_name,session_type,driver_number,driver_name,team_name,total_laps,best_lap_time,median_lap_time,avg_lap_time,best_sector_1,avg_sector_1,best_sector_2,avg_sector_2,best_sector_3,avg_sector_3,avg_i1_speed,avg_i2_speed,avg_st_speed,purple_sectors_count,green_sectors_count,num_stints,compounds_used,avg_stint_length,total_soft_laps,total_medium_laps,total_hard_laps,total_intermediate_laps,total_wet_laps,avg_air_temp,avg_track_temp,avg_humidity,total_rainfall,avg_wind_speed,starting_position,finishing_position,points,dnf,dns,dsq
2023,1140,9222,Sakhir,Sakhir,Practice_1,Practice,63,RUS,Mercedes,69,94.174,98.584,102.8221153846154,29.938,31.846750000000004,40.78,45.47848076923078,23.43,25.49688461538462,225.72727272727272,237.34615384615384,290.3469387755102,0,0,15.0,"MEDIUM,HARD,TEST_UNKNOWN,UNKNOWN",5.466666666666667,0.0,35.0,18.0,0.0,0.0,26.834406779661016,35.970169491525425,21.859322033898305,0,2.112881355932203,,,,,,
2023,1140,9222,Sakhir,Sakhir,Practice_1,Practice,24,ZHO,Alfa Romeo,67,93.723,100.984,109.96754901960784,29.994,34.463179999999994,40.405,48.47098039215686,23.324,27.0781568627451,204.11111111111111,231.4705882352941,281.6,0,0,16.0,MEDIUM,5.125,0.0,82.0,0.0,0.0,0.0,26.834406779661016,35.970169491525425,21.859322033898305,0,2.112881355932203,,,,,,
2023,1140,9222,Sakhir,Sakhir,Practice_1,Practice,23,ALB,Williams,74,93.671,98.9975,107.18233928571428,29.761,33.637053571428574,40.306,46.98241071428571,23.604,26.562875,204.42,230.1071428571429,299.811320754717,0,0,17.0,"SOFT,MEDIUM,UNKNOWN",5.176470588235294,22.0,62.0,0.0,0.0,0.0,26.834406779661016,35.970169491525425,21.859322033898305,0,2.112881355932203,,,,,,
2023,1140,9222,Sakhir,Sakhir,Practice_1,Practice,55,SAI,Ferrari,72,93.253,100.6485,104.93306666666663,29.581,33.05716666666667,40.41,46.17979999999999,23.234,25.696100000000005,218.8846153846154,232.78333333333333,288.75925925925924,0,0,11.0,"MEDIUM,TEST_UNKNOWN",7.363636363636363,0.0,68.0,0.0,0.0,0.0,26.834406779661016,35.970169491525425,21.859322033898305,0,2.112881355932203,,,,,,
2023,1140,9222,Sakhir,Sakhir,Practice_1,Practice,22,TSU,AlphaTauri,46,94.671,100.407,107.6005,30.104,33.38378125,40.821,46.75640625,23.661,27.4603125,207.1935483870968,220.34375,296.7586206896552,0,0,13.0,"MEDIUM,SOFT,TEST_UNKNOWN",4.384615384615385,24.0,21.0,0.0,0.0,0.0,26.834406779661016,35.970169491525425,21.859322033898305,0,2.112881355932203,,,,,,
2023,1140,9222,Sakhir,Sakhir,Practice_1,Practice,1,VER,Red Bull Racing,157,92.837,96.834,103.90956,29.408,32.981184000000006,40.056,45.12566399999999,23.275,25.802712,215.8235294117647,240.4,279.94736842105266,0,0,31.0,MEDIUM,5.967741935483871,0.0,185.0,0.0,0.0,0.0,26.834406779661016,35.970169491525425,21.859322033898305,0,2.112881355932203,,,,,,
2023,1140,9222,Sakhir,Sakhir,Practice_1,Practice,27,HUL,Haas F1 Team,51,94.424,98.034,99.99463414634148,30.408,31.66217073170732,40.642,43.22651219512196,23.362,25.1059512195122,227.42105263157896,249.390243902439,299.6666666666667,0,0,9.0,"MEDIUM,TEST_UNKNOWN",6.444444444444445,0.0,36.0,0.0,0.0,0.0,26.834406779661016,35.970169491525425,21.859322033898305,0,2.112881355932203,,,,,,
2023,1140,9222,Sakhir,Sakhir,Practice_1,Practice,10,GAS,Alpine,60,94.822,100.66,102.15629166666666,30.309,32.385416666666664,40.974,44.698520833333326,23.539,25.072354166666667,214.97435897435895,241.14583333333331,297.2325581395349,0,0,11.0,"HARD,MEDIUM",6.2727272727272725,0.0,61.0,8.0,0.0,0.0,26.834406779661016,35.970169491525425,21.859322033898305,0,2.112881355932203,,,,,,
2023,1140,9222,Sakhir,Sakhir,Practice_1,Practice,81,PIA,McLaren,52,94.888,100.85,105.83040624999998,30.149,33.14378125,40.972,46.6906875,23.586,25.9959375,215.20689655172413,238.1875,295.03333333333336,0,0,19.0,"HARD,TEST_UNKNOWN,MEDIUM",3.631578947368421,0.0,20.0,32.0,0.0,0.0,26.834406779661016,35.970169491525425,21.859322033898305,0,2.112881355932203,,,,,,
2023,1140,9222,Sakhir,Sakhir,Practice_1,Practice,34,DRU,Aston Martin,40,94.564,100.842,108.18851724137932,29.914,33.75520689655173,41.237,47.79662068965518,23.372,26.63668965517241,215.79166666666663,231.55172413793105,283.51851851851853,0,0,10.0,MEDIUM,4.7,0.0,47.0,0.0,0.0,0.0,26.834406779661016,35.970169491525425,21.859322033898305,0,2.112881355932203,,,,,,
2023,1140,9222,Sakhir,Sakhir,Practice_1,Practice,21,DEV,AlphaTauri,85,94.559,99.232,103.87123943661972,29.788,32.75566197183099,41.062,45.527535211267605,23.571,25.58804225352113,222.4126984126984,239.1267605633803,295.34375,0,0,14.0,"MEDIUM,TEST_UNKNOWN",7.0,0.0,77.0,0.0,0.0,0.0,26.834406779661016,35.970169491525425,21.859322033898305,0,2.112881355932203,,,,,,
